lattitude,longitude,place,Room_no
13.6301621,78.4779891,0,217
13.6301716,78.4779933,0,217
13.6301783,78.478003,0,217
13.6301725,78.4779999,0,217
13.6301729,78.4779906,0,217
13.6301754,78.477991,0,217
13.6301632,78.4779936,0,217
13.6301665,78.4779929,0,217
13.630175,78.4779999,0,217
13.6301635,78.4779737,0,217
13.6301665,78.4779794,0,217
13.6301648,78.4779837,0,217
13.6301663,78.4779918,0,217
13.6301601,78.4779671,0,217
13.6301534,78.4779455,0,217
13.6301697,78.4779657,0,217
13.6301737,78.4779783,0,217
13.630173,78.4779969,0,217
13.6301691,78.4779976,0,217
13.6301735,78.4780002,0,217
13.6301706,78.4779974,0,217
13.630165,78.4780011,0,217
13.6301576,78.4779982,0,217
13.6301628,78.4779662,0,217
13.6301579,78.4779757,0,217
13.6301583,78.4779808,0,217
13.6301649,78.4779835,0,217
13.6301559,78.4779875,0,217
13.630172,78.478001,0,217
13.6301677,78.4780084,0,217
13.6301715,78.4779926,0,217
13.6301822,78.4780056,0,217
13.630184,78.4779955,0,217
13.6301804,78.4779844,0,217
13.6301834,78.4779791,0,217
13.6302124,78.478,0,217
13.6303006,78.4779961,0,217
13.6302042,78.477995,0,217
13.6302036,78.4780017,0,217
13.6302617,78.4780109,0,217
13.6302227,78.4780087,0,217
13.6302264,78.4779948,0,217
13.6302431,78.477992,0,217
13.6302007,78.4779873,0,217
13.6302466,78.4779962,0,217
13.6302873,78.4779809,0,217
13.6301842,78.4779918,0,217
13.6302938,78.4779789,0,217
13.6302413,78.4779987,0,217
13.6301819,78.4779979,0,217
13.6302867,78.477978,0,217
13.6302779,78.4779887,0,217
13.6302398,78.4780032,0,217
13.6301927,78.4779982,0,217
13.6302942,78.4779754,0,217
13.6301823,78.4780136,0,217
13.6302725,78.4779794,0,217
13.6302305,78.4780164,0,217
13.6302681,78.4779795,0,217
13.6301722,78.4779808,0,217
13.6302314,78.4780052,0,217
13.6302726,78.4779792,0,217
13.6302726,78.4779792,0,217
13.6302391,78.4779963,0,217
13.6302518,78.4779816,0,217
13.6302391,78.4779963,0,217
13.6302424,78.4779903,0,217
13.6302391,78.4779963,0,217
13.6302241,78.4779968,0,217
13.6302391,78.4779963,0,217
13.6303158,78.4779817,0,217
13.6301931,78.477988,0,217
13.6302391,78.4779963,0,217
13.6301814,78.4779903,0,217
13.6302735,78.4780055,0,217
13.6302391,78.4779963,0,217
13.6302301,78.4779657,0,217
13.6302098,78.4779951,0,217
13.6302391,78.4779963,0,217
13.6302566,78.4779967,0,217
13.6302113,78.4780041,0,217
13.6302391,78.4779963,0,217
13.6302144,78.4780024,0,217
13.6302391,78.4779963,0,217
13.6301981,78.4779984,0,217
13.6302888,78.477994,0,217
13.6301981,78.477997,0,217
13.6302391,78.4779963,0,217
13.630205,78.4779804,0,217
13.6302591,78.4779966,0,217
13.6302391,78.4779963,0,217
13.6302018,78.4779856,0,217
13.6302391,78.4779963,0,217
13.63019,78.4779896,0,217
13.6302836,78.4779909,0,217
13.6302002,78.477993,0,217
13.6302391,78.4779963,0,217
13.6301944,78.4780003,0,217
13.6302779,78.4779893,0,217
13.6302391,78.4779963,0,217
13.6301956,78.478006,0,217
13.6302391,78.4779963,0,217
13.6301896,78.4780023,0,217
13.6302391,78.4779963,0,217
13.6302861,78.4779793,0,217
13.6301994,78.4779928,0,217
13.6302391,78.4779963,0,217
13.6301951,78.4779904,0,217
13.6303249,78.4779515,0,217
13.6301979,78.4779895,0,217
13.6302391,78.4779963,0,217
13.6301993,78.4779908,0,217
13.6302671,78.4780034,0,217
13.6302391,78.4779963,0,217
13.6301932,78.4779893,0,217
13.6302391,78.4779963,0,217
13.6302398,78.4779976,0,217
13.6301991,78.477992,0,217
13.6302391,78.4779963,0,217
13.6302036,78.4779947,0,217
13.6303074,78.4780046,0,217
13.6302391,78.4779963,0,217
13.6302036,78.4779937,0,217
13.630199,78.4779805,0,217
13.6302391,78.4779963,0,217
13.6302751,78.4780012,0,217
13.6301985,78.477984,0,217
13.6302391,78.4779963,0,217
13.6301859,78.4779861,0,217
13.6302252,78.4780054,0,217
13.6302034,78.4779809,0,217
13.6302391,78.4779963,0,217
13.6302059,78.4779908,0,217
13.6302391,78.4779963,0,217
13.6302107,78.4779905,0,217
13.6302107,78.4779905,0,217
13.6303238,78.4779981,0,217
13.6302391,78.4779963,0,217
13.6302129,78.4779882,0,217
13.6302391,78.4779963,0,217
13.6302033,78.4779756,0,217
13.6302391,78.4779963,0,217
13.6302024,78.4779879,0,217
13.6303391,78.4779838,0,217
13.6302391,78.4779963,0,217
13.6302391,78.4779963,0,217
13.6303304,78.4779858,0,217
13.6302391,78.4779963,0,217
13.6302391,78.4779963,0,217
13.6303195,78.4779755,0,217
13.6302759,78.4780001,0,217
13.6301972,78.4780034,0,217
13.6302033,78.4780032,0,217
13.630242,78.4779952,0,217
13.630184,78.478011,0,217
13.6302688,78.4779953,0,217
13.630196,78.4780083,0,217
13.6302324,78.4780074,0,217
13.6301852,78.4780072,0,217
13.630202,78.4779982,0,217
13.6302201,78.4779959,0,217
13.6302042,78.4780005,0,217
13.6302458,78.4779983,0,217
13.6302144,78.4779998,0,217
13.6302779,78.4779967,0,217
13.630276,78.4779845,0,217
13.6302356,78.4780136,0,217
13.6302582,78.477997,0,217
13.6302276,78.478008,0,217
13.6302183,78.4780012,0,217
13.6302442,78.4780032,0,217
13.6302295,78.4779721,0,217
13.6302551,78.4779938,0,217
13.6302606,78.4780043,0,217
13.630227,78.4779955,0,217
13.6302915,78.4779913,0,217
13.6302594,78.477989,0,217
13.6302166,78.4779828,0,217
13.6302697,78.4779872,0,217
13.6302846,78.4779767,0,217
13.6302207,78.4779991,0,217
13.6302389,78.4779985,0,217
13.630185,78.4780232,0,217
13.6302439,78.4779916,0,217
13.6302544,78.4779931,0,217
13.630199,78.478022,0,217
13.6302854,78.4779707,0,217
13.6302244,78.4780107,0,217
13.6302512,78.4779781,0,217
13.6302158,78.4780104,0,217
13.6302481,78.4779987,0,217
13.6303069,78.477983,0,217
13.630316,78.4779755,0,217
13.6302247,78.4779966,0,217
13.6303398,78.4779545,0,217
13.6302207,78.4780038,0,217
13.630231,78.4779905,0,217
13.630281,78.4779769,0,217
13.6302723,78.4779854,0,217
13.6302026,78.4780047,0,217
13.6301959,78.4780165,0,217
13.6302057,78.4779903,0,217
13.6301979,78.4780212,0,217
13.6302306,78.4779767,0,217
13.6302246,78.4780017,0,217
13.6302728,78.4779819,0,217
13.6302186,78.4779903,0,217
13.6302086,78.4779939,0,217
13.6302153,78.4780037,0,217
13.6302785,78.4779861,0,217
13.6302451,78.4779928,0,217
13.6302061,78.4779979,0,217
13.630268,78.4779787,0,217
